Errors:
Line Error (9): 20:06:58.087999 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (588): 20:07:31.857952 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (594): 20:07:32.716406 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (599): 20:07:33.304767 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (602): 20:07:33.891955 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (608): 20:07:34.748908 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (609): 20:07:34.880621 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (617): 20:07:35.358133 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (644): 20:07:36.358171 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (654): 20:07:37.047897 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (663): 20:07:37.882834 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (665): 20:07:38.749058 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (667): 20:07:38.887673 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (669): 20:07:39.288611 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (670): 20:07:39.358274 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (675): 20:07:40.100641 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (676): 20:07:40.177808 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (677): 20:07:40.212182 ARP, Request who-has 192.168.10.1 tell 192.168.10.18, length 46
Line Error (678): 20:07:40.212186 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (681): 20:07:40.358374 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (688): 20:07:40.723508 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (690): 20:07:40.938625 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (695): 20:07:41.100609 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (723): 20:07:41.721914 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (733): 20:07:42.347607 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (735): 20:07:42.737563 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (737): 20:07:42.883454 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (740): 20:07:43.358472 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (741): 20:07:43.888518 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (747): 20:07:45.130757 ARP, Reply 192.168.10.93 is-at 24:52:6a:9e:fa:67, length 46
Line Error (839): 20:07:45.915760 ARP, Request who-has 192.168.10.1 (ff:ff:ff:ff:ff:ff) tell 192.168.10.37, length 46
Line Error (840): 20:07:45.915764 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (842): 20:07:45.999411 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (874): 20:07:46.765034 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (878): 20:07:46.858640 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (883): 20:07:47.358695 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (884): 20:07:47.391855 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (898): 20:07:47.858699 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (954): 20:07:48.358732 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (955): 20:07:48.391082 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (986): 20:07:49.288448 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (991): 20:07:49.385165 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1031): 20:07:49.999657 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1047): 20:07:50.100693 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (1083): 20:07:50.858834 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1087): 20:07:50.959664 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (1088): 20:07:51.004093 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1094): 20:07:51.100643 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (1095): 20:07:51.155744 ARP, Request who-has 192.168.10.139 tell 192.168.10.3, length 46
Line Error (1105): 20:07:51.721531 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1107): 20:07:51.858862 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1132): 20:07:52.429361 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1133): 20:07:52.719944 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1134): 20:07:52.758646 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (1136): 20:07:53.389707 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1137): 20:07:53.466353 ARP, Reply 192.168.10.94 is-at 24:52:6a:9e:fc:64, length 46
Line Error (1138): 20:07:53.891485 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.3, length 46
Line Error (1139): 20:07:53.891489 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1145): 20:07:54.379978 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1211): 20:07:56.887761 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1213): 20:07:56.975812 ARP, Request who-has 192.168.10.91 (ff:ff:ff:ff:ff:ff) tell 192.168.10.37, length 46
Line Error (1215): 20:07:57.468910 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1219): 20:07:57.991363 ARP, Request who-has 192.168.10.1 tell 192.168.10.24, length 46
Line Error (1220): 20:07:57.991367 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1221): 20:07:57.999980 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1222): 20:07:58.019207 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1225): 20:07:58.380438 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1227): 20:07:58.859187 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1229): 20:07:58.882299 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1238): 20:07:59.384765 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1244): 20:07:59.859227 ARP, Request who-has 192.168.10.183 tell 192.168.10.91, length 46
Line Error (1245): 20:07:59.891172 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1248): 20:08:00.175801 ARP, Request who-has 192.168.10.139 (ff:ff:ff:ff:ff:ff) tell 192.168.10.37, length 46
Line Error (1255): 20:08:00.980707 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (1261): 20:08:01.144108 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1269): 20:08:01.721159 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1304): 20:08:02.497930 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1305): 20:08:02.719565 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (1306): 20:08:02.779753 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (1307): 20:08:02.952936 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1310): 20:08:03.007833 ARP, Request who-has 192.168.10.1 tell 192.168.10.17, length 46
Line Error (1311): 20:08:03.007836 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1313): 20:08:03.392553 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1321): 20:08:03.879328 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1322): 20:08:04.042504 ARP, Request who-has 192.168.10.1 tell 192.168.10.231, length 46
Line Error (1323): 20:08:04.042507 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1324): 20:08:04.383247 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1325): 20:08:04.888625 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1326): 20:08:04.942825 ARP, Request who-has 192.168.10.1 tell 192.168.10.94, length 46
Line Error (1327): 20:08:04.942828 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1384): 20:08:06.169281 ARP, Request who-has 192.168.10.20 (ff:ff:ff:ff:ff:ff) tell 192.168.10.20, length 46
Line Error (1392): 20:08:07.037266 ARP, Request who-has 192.168.10.1 tell 192.168.10.93, length 46
Line Error (1393): 20:08:07.037271 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1395): 20:08:07.368067 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1398): 20:08:07.884799 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1459): 20:08:08.888275 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1465): 20:08:09.160378 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1476): 20:08:09.801397 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1477): 20:08:09.876836 ARP, Request who-has 192.168.10.91 (ff:ff:ff:ff:ff:ff) tell 192.168.10.79, length 46
Line Error (1482): 20:08:10.435735 ARP, Request who-has 192.168.10.1 (ff:ff:ff:ff:ff:ff) tell 192.168.10.81, length 46
Line Error (1483): 20:08:10.435740 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1487): 20:08:10.810968 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1490): 20:08:10.965384 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1491): 20:08:11.001704 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (1497): 20:08:11.578509 ARP, Request who-has 192.168.10.180 tell 192.168.10.3, length 46
Line Error (1511): 20:08:11.891866 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1514): 20:08:12.359850 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1517): 20:08:12.554739 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1518): 20:08:12.800882 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (1520): 20:08:12.883759 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1523): 20:08:13.388518 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1525): 20:08:14.377294 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1531): 20:08:14.953819 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1540): 20:08:15.708380 ARP, Request who-has 192.168.10.1 tell 192.168.10.16, length 46
Line Error (1541): 20:08:15.708385 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1542): 20:08:15.860006 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1571): 20:08:16.860035 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1604): 20:08:17.596187 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1605): 20:08:18.055611 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1610): 20:08:18.383082 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1629): 20:08:18.885497 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1630): 20:08:18.953978 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1633): 20:08:19.387801 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1640): 20:08:19.617013 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1641): 20:08:19.860139 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1642): 20:08:19.890101 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1643): 20:08:20.212911 ARP, Request who-has 192.168.10.1 tell 192.168.10.18, length 46
Line Error (1644): 20:08:20.212915 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1645): 20:08:20.311792 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1646): 20:08:20.507047 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.141, length 46
Line Error (1647): 20:08:20.507049 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1648): 20:08:20.860228 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1651): 20:08:21.022756 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (1652): 20:08:21.067622 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1657): 20:08:21.256836 ARP, Request who-has 192.168.10.173 (ff:ff:ff:ff:ff:ff) tell 192.168.10.79, length 46
Line Error (1658): 20:08:21.301075 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1660): 20:08:21.475462 ARP, Request who-has 192.168.10.3 tell 192.168.10.249, length 46
Line Error (1661): 20:08:21.476496 ARP, Request who-has 192.168.10.249 tell 192.168.10.3, length 46
Line Error (1667): 20:08:21.883751 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1673): 20:08:22.622687 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1674): 20:08:22.821998 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (1675): 20:08:22.888922 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1677): 20:08:23.100808 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.70, length 46
Line Error (1678): 20:08:23.100812 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1680): 20:08:23.174650 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1682): 20:08:23.187583 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.249, length 46
Line Error (1683): 20:08:23.187590 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1685): 20:08:23.391269 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1710): 20:08:23.860388 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1736): 20:08:24.082375 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1738): 20:08:24.379947 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1740): 20:08:24.597790 ARP, Request who-has 192.168.10.1 tell 192.168.10.157, length 46
Line Error (1741): 20:08:24.597795 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1742): 20:08:24.860384 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1743): 20:08:24.882357 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1746): 20:08:25.890733 ARP, Request who-has 192.168.10.182 tell 192.168.10.173, length 46
Line Error (1748): 20:08:26.188667 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1791): 20:08:26.860510 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1792): 20:08:26.954391 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1794): 20:08:27.042440 IP 192.168.10.139 > 224.0.0.22: igmp
Line Error (1796): 20:08:27.052823 IP 192.168.10.139 > 224.0.0.22: igmp
Line Error (1798): 20:08:27.052912 IP 192.168.10.139 > 224.0.0.22: igmp
Line Error (1800): 20:08:27.052954 IP 192.168.10.139 > 224.0.0.22: igmp
Line Error (1809): 20:08:27.315849 IP 192.168.10.139 > 224.0.0.22: igmp
Line Error (1816): 20:08:27.645728 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1817): 20:08:27.860579 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1818): 20:08:27.860642 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1838): 20:08:28.219702 ARP, Request who-has 192.168.10.1 tell 192.168.10.246, length 46
Line Error (1839): 20:08:28.219706 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (1855): 20:08:28.381540 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1865): 20:08:28.860606 ARP, Request who-has 192.168.10.148 tell 192.168.10.91, length 46
Line Error (1872): 20:08:29.085777 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (1878): 20:08:29.378509 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1886): 20:08:29.600878 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (1889): 20:08:29.707439 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1895): 20:08:30.204659 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1897): 20:08:30.310640 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1902): 20:08:30.601016 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (1905): 20:08:30.860652 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1910): 20:08:31.043769 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (1920): 20:08:31.304308 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (1922): 20:08:31.436759 ARP, Request who-has 192.168.10.19 (ff:ff:ff:ff:ff:ff) tell 192.168.10.79, length 46
Line Error (1925): 20:08:31.860672 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (1930): 20:08:32.276763 ARP, Request who-has 192.168.10.3 (ff:ff:ff:ff:ff:ff) tell 192.168.10.79, length 46
Line Error (1966): 20:08:32.693926 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1969): 20:08:32.843186 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (1971): 20:08:33.387275 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (1975): 20:08:34.379205 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (2006): 20:08:36.881332 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.173, length 46
Line Error (2007): 20:08:36.881339 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (2011): 20:08:37.573184 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (2013): 20:08:38.204954 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (2014): 20:08:38.378465 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (2015): 20:08:38.860992 ARP, Request who-has 192.168.10.162 tell 192.168.10.91, length 46
Line Error (2018): 20:08:39.288824 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (2020): 20:08:39.382769 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (2023): 20:08:39.861022 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.91, length 46
